정점명,개수,무게_kg,위도,경도,군집,단위무게,Grid_ID
강화여차리,511,25.1,37.620648,126.3893598,2,0.049119373776908,GR3_F2K14_M
안산말부흥,50,0.5,37.2211136,126.5721774,2,0.01,GR3_F2K43_A
태안백리포,1359,49.8,36.81403540000001,126.1599651,2,0.036644591611479,GR3_F2O11_R
보령석대도,138,50.1,36.2471347,126.5464963,2,0.3630434782608696,GR3_F2O43_F
부안변산,97,39.0,35.6898916,126.5494362,2,0.4020618556701031,GR3_F4C23_A
신안임자도,119,7.1,35.1297591,126.1198797,2,0.0596638655462184,GR3_F4C33_M
진도하조도,309,24.9,34.2901417,126.0649425,2,0.0805825242718446,GR3_F4G31_Q
해남묵동리,221,15.4,34.3711166,126.6036024,2,0.069683257918552,GR3_F4G41_M
고흥신흥,452,23.2,34.5792925,127.1444411,2,0.0513274336283185,GR3_F4H13_R
여수반월,246,6.8,34.7912068,127.5738306,2,0.0276422764227642,GR3_F4H21_V
사천아두도,325,28.3,34.8989113,128.0757013,2,0.087076923076923,GR3_G3E11_L
통영망일봉,1215,16.0,34.8479613,128.4371946,2,0.0131687242798353,GR3_G3E12_S
마산봉암,965,19.6,35.2246659,128.6061178,2,0.0203108808290155,GR3_G3A43_B
부산해양대,800,22.9,35.0708907,129.0745195,2,0.0286249999999999,GR3_G3B33_Q
울산대왕암,2280,27.7,35.4969464,129.4330583,0,0.0121491228070175,GR3_G3B32_D
포항칠포,1937,75.8,36.1440365,129.3900131,0,0.0391326794011357,GR3_G1N34_M
울진후정,395,4.9,37.0629194,129.4037505,2,0.0124050632911392,GR3_G1J34_S
강릉송정,350,4.9,37.8137117,128.87497,2,0.014,GR3_G1I22_R
속초청초,1725,13.5,38.1951876,128.5962751,0,0.0078260869565217,GR3_G1E43_G
인천백령도,812,78.0,37.9646004,124.7066217,2,0.0960591133004926,GR3_F2I21_E
인천영종도,74,1.0,37.455283,126.3793637,2,0.0135135135135135,GR3_F2K32_C
인천영흥도,46,0.7,37.26838,126.4702202,2,0.0152173913043478,GR3_F2K32_Y
태안안면도,2502,60.0,36.4328714,126.3795894,0,0.0239808153477218,GR3_F2O32_H
서천다사항,131,56.1,36.1057151,126.6142634,2,0.4282442748091603,GR3_F2O43_M
고창동호,229,99.2,35.5093734,126.4884499,2,0.4331877729257642,GR3_F4C32_D
영광백바위,442,117.3,35.2297901,126.3094011,2,0.2653846153846154,GR3_F4C34_H
신안고장,971,20.0,34.8767863,126.005592,2,0.0205973223480947,GR3_F4G11_L
해남예락,292,58.3,34.6109314,126.2922176,2,0.1996575342465753,GR3_F4G14_K
해남송평,327,71.9,34.44268580000001,126.4748789,2,0.2198776758409786,GR3_F4G32_J
제주김녕리,2494,137.6,33.5389636,126.7494481,0,0.0551724137931034,GR3_F4K23_S
완도신지도,743,42.5,34.3349187,126.7801042,2,0.057200538358008,GR3_F4G42_P
여수백야도,525,11.6,34.6154129,127.637848,2,0.022095238095238,GR3_F4H23_M
고흥염포,435,18.3,34.4360441,127.4974104,2,0.0420689655172413,GR3_F4H32_J
남해유구,188,26.5,34.76155240000001,127.8562831,2,0.1409574468085106,GR3_F4H22_V
거제두모,3746,33.8,34.986674,128.6911309,0,0.0090229578216764,GR3_G3E21_D
울주나사리,1158,46.0,35.3490177,129.3182481,2,0.0397236614853195,GR3_G3B32_Q
동해노봉,823,18.3,37.5729655,129.0834231,2,0.022235722964763,GR3_G1J13_R
영덕고래불,596,9.8,36.6026697,129.4094795,2,0.0164429530201342,GR3_G1N14_N
포항구룡포,4064,87.0,36.0623152,129.558625,0,0.0214074803149606,GR3_G1N43_Q
제주사계리,827,18.8,33.2383758,126.3026575,2,0.02273276904474,GR3_F4K34_B
고성하일,1710,21.8,34.9243186,128.1942245,0,0.0127485380116959,GR3_G3E11_I
군산선유도,45,3.8,35.8265225,126.4109249,2,0.0844444444444444,GR3_F4C12_S
당진석문,159,1.8,37.034301,126.5107641,2,0.0113207547169811,GR3_F2K43_U
보령삽시도,677,5.1,36.3388359,126.3549133,2,0.007533234859675,GR3_F2O32_Q
부산가덕도,3383,52.1,35.0671545,128.846194,0,0.0154005320721253,GR3_G3A44_Q
부산일광,2675,36.2,35.2538187,129.2474352,0,0.0135327102803738,GR3_G3B31_Y
시흥정왕,790,4.8,37.3411588,126.7220994,2,0.0060759493670886,GR3_F2K41_O
신안압해도,1157,98.9,34.8562485,126.2762597,2,0.0854796888504753,GR3_F4G12_L
신안우이도,3497,1238.0,34.6087046,125.8400858,1,0.3540177294824135,GR3_F4F24_M
신안흑산도,2733,219.8,34.6743075,125.4051371,0,0.0804244420051225,GR3_F4F14_I
여수거문도,4207,74.4,34.046257,127.2879661,0,0.0176848110292369,GR3_F4H34_U
여수안도,11420,253.5,34.4857211,127.8106368,3,0.0221978984238178,GR3_F4H42_B
완도보길도,1693,38.4,34.1593277,126.5241703,0,0.0226816302421736,GR3_F4G43_F
완도평일도,806,85.0,34.3289971,126.8040192,2,0.1054590570719603,GR3_F4G42_Q
울릉현포,2287,250.5,37.527339,130.8339278,0,0.1095321381722781,GR3_G1K42_C
울산주전,1380,13.6,35.5578088,129.4481506,2,0.0098550724637681,GR3_G3B14_T
제주위미,902,14.8,33.3283413,126.6661355,2,0.0164079822616407,GR3_F4K41_X
진도가사도,1349,225.0,34.4797866,126.0504041,0,0.1667902149740548,GR3_F4G31_B
통영욕지도,2563,47.9,34.6315021,128.241404,0,0.0186890362856028,GR3_G3E13_O
화성서신,124,1.5,37.1295396,126.6975366,2,0.0120967741935483,GR3_F2K43_N
