current_dir,pre_lon,current_speed,pre_lat,datetime
275,125.03305,24.0,33.04701,2024-01-01 00:00:00
271,125.02657,22.0,33.19098,2024-01-01 00:00:00
266,125.02003,21.0,33.33496,2024-01-01 00:00:00
259,125.01345,19.0,33.47892,2024-01-01 00:00:00
251,125.00682,17.0,33.62288,2024-01-01 00:00:00
241,125.00015,16.0,33.76684,2024-01-01 00:00:00
280,125.20403,23.0,33.05234,2024-01-01 00:00:00
277,125.19782,21.0,33.19634,2024-01-01 00:00:00
272,125.19157,19.0,33.34033,2024-01-01 00:00:00
265,125.18527,17.0,33.48434,2024-01-01 00:00:00
256,125.17892,15.0,33.62833,2024-01-01 00:00:00
246,125.17253,14.0,33.77232,2024-01-01 00:00:00
233,125.1661,15.0,33.9163,2024-01-01 00:00:00
286,125.37505,22.0,33.05742,2024-01-01 00:00:00
283,125.36912,20.0,33.20145,2024-01-01 00:00:00
279,125.36315,18.0,33.34549,2024-01-01 00:00:00
273,125.35713,16.0,33.48952,2024-01-01 00:00:00
263,125.35107,13.0,33.63354,2024-01-01 00:00:00
250,125.34497,11.0,33.77755,2024-01-01 00:00:00
232,125.33882,11.0,33.92156,2024-01-01 00:00:00
292,125.54612,21.0,33.06228,2024-01-01 00:00:00
291,125.54046,19.0,33.20635,2024-01-01 00:00:00
288,125.53477,17.0,33.3504,2024-01-01 00:00:00
281,125.52904,15.0,33.49445,2024-01-01 00:00:00
273,125.52326,12.0,33.6385,2024-01-01 00:00:00
260,125.51744,10.0,33.78255,2024-01-01 00:00:00
239,125.51159,10.0,33.92658,2024-01-01 00:00:00
297,125.71722,22.0,33.06692,2024-01-01 00:00:00
298,125.71185,19.0,33.211,2024-01-01 00:00:00
298,125.70643,17.0,33.35508,2024-01-01 00:00:00
292,125.70098,13.0,33.49916,2024-01-01 00:00:00
283,125.69549,11.0,33.64323,2024-01-01 00:00:00
273,125.68996,10.0,33.7873,2024-01-01 00:00:00
252,125.68439,9.0,33.93136,2024-01-01 00:00:00
301,125.88836,24.0,33.0713,2024-01-01 00:00:00
306,125.88327,21.0,33.21542,2024-01-01 00:00:00
309,125.87814,17.0,33.35952,2024-01-01 00:00:00
300,125.87297,13.0,33.50362,2024-01-01 00:00:00
288,125.86776,11.0,33.64772,2024-01-01 00:00:00
279,125.86252,11.0,33.79181,2024-01-01 00:00:00
276,125.85724,8.0,33.93589,2024-01-01 00:00:00
303,126.05954,27.0,33.07547,2024-01-01 00:00:00
